book_id,studio,total_score,reasoning,book_summary,genre_fit_score,genre_fit_reasoning,visual_story_adaptability_score,visual_story_adaptability_reasoning,audience_fit_score,audience_fit_reasoning,franchise_potential_score,franchise_potential_reasoning,budget_scale_fit_score,budget_scale_fit_reasoning,name_recognition_score,name_recognition_reasoning
the-murders-in-the-rue-morgue__spencer-herbert__1841,A24,67.25,"Strong fit on budget and name recognition, but the story's intellectual detective-work structure and pre-noir sensibilities diverge from the darker, insider-uncovering thriller the mandate seeks.","This is Edgar Allan Poe's 1841 short story (not by Herbert Spencer as attributed here), widely recognized as an early prototype of detective fiction featuring C. Auguste Dupin solving a seemingly impossible murder in Paris through analytical reasoning.",70,"Classic detective mystery with some dark elements, but predates noir genre conventions and lacks the morally ambiguous, cynical tone of true noir.",75,"The atmospheric Parisian setting and locked-room mystery mechanics adapt well visually, though the story relies heavily on exposition and deduction rather than action.",65,"The intellectual detective protagonist appeals to cinephile sensibilities, but the 19th-century formality and emphasis on pure logic may feel dated to younger A24 audiences seeking character depth.",50,"Dupin appears in other Poe stories allowing world-building, but the standalone mystery structure and static setting limit sequel potential for the story itself.",80,"Small Parisian apartment and period Paris setting naturally suit contained, modest budgets rather than large-scale productions.",85,Poe is a canonical literary figure and this story is widely taught and recognized as a foundational detective tale.
sailing-alone-around-the-world__slocum-joshua__1800,A24,15.75,"This public-domain maritime memoir is fundamentally misaligned with the noir thriller mandate—it's a historical adventure narrative with no genre, tone, character, or thematic overlap with the required dark insider-uncovering story.","A non-fiction memoir by Joshua Slocum about his solo circumnavigation of the world by sailboat in the 1890s—a maritime adventure narrative, not a noir thriller.",5,This is a non-fiction adventure memoir with no noir thriller elements whatsoever.,25,"While ocean sailing offers visual potential, the memoir lacks the dark, moody atmosphere noir requires; it's more celebratory adventure than dark psychological exploration.",15,"An elderly sea captain's memoir focuses on seamanship and perseverance, not the insider-uncovering-corruption themes that would resonate with A24's cinephile 18-34 urban audience.",10,A completed historical voyage offers no sequel potential or ongoing world-building opportunities.,20,"Adapting a global sailing journey with period-accurate ships and international locations would require a large, expensive production budget far beyond A24's typical range.",60,"Slocum's circumnavigation is a notable historical feat with some cultural recognition among maritime enthusiasts and history readers, though not mainstream household-name status."
the-jewel-of-seven-stars__stoker-bram__1902,A24,39.0,"The novel's Gothic horror core fundamentally misaligns with the noir thriller mandate, making it a poor fit despite strong visual and name recognition potential.","The Jewel of Seven Stars is a 1902 Gothic horror novel by Bram Stoker about an Egyptian mummy curse and occult mystery involving a powerful jewel, centered on supernatural threats and ancient evil rather than noir crime procedural.",15,Gothic horror/supernatural fiction is fundamentally misaligned with noir thriller conventions and crime-centered narrative.,72,"The Gothic atmosphere, Egyptian tombs, and occult imagery are highly cinematic and evoke a dark, moody aesthetic despite genre mismatch.",35,"While A24 audiences appreciate atmospheric horror, the 'insider uncovering' element doesn't naturally align with this novel's supernatural-focused plotting and period setting.",28,The self-contained curse narrative limits sequel potential; 'uncovering' a mummy's secrets offers limited world-building for continuation.,58,"A small-town setting would work budget-wise, but the novel's Egyptian locations and elaborate Gothic production design push toward higher-end budgets.",70,"Bram Stoker is famous and this is a known work by him, though far less iconic than Dracula."
paesi-tuoi__pavese-cesare__1941,A24,33.5,"Paesi tuoi is a literary existential drama fundamentally misaligned with a noir thriller mandate—its introspective psychology and regional Italian realism offer minimal overlap with the dark, investigative insider archetype A24's mad-lib seeks.","Paesi tuoi (Your Native Country) is a 1941 Italian novel by Cesare Pavese exploring the psychological and social alienation of a man returning to his small hometown in Piedmont after years away, grappling with existential malaise and the tension between urban escape and rural roots—a literary modernist work rather than a genre thriller.",25,"The novel is introspective literary fiction focused on existential themes, not a noir thriller with crime or mystery elements.",45,"Pavese's psychological interior monologues are challenging to visualize, though the rural Piedmont setting and alienation themes offer some atmospheric potential.",35,"The protagonist's existential malaise may resonate with A24's cinephile audience, but lacks the insider-uncovering-corruption archetype the mandate seeks.",15,This is a closed character study with no mystery to uncover or expanding world to explore across sequels.,70,"A small Piedmont village with modest social drama naturally fits a contained, low-to-mid-budget film scope.",20,Pavese is known to Italian literature scholars and cinephiles but remains obscure to general audiences outside academic circles.
orthodoxy__chesterton-gilbert-keith__1874,A24,11.0,"Orthodoxy is a philosophical defense of Christian orthodoxy with no narrative, mystery, or thriller elements, making it fundamentally misaligned with the noir-thriller mandate and A24's core brand.","Orthodoxy by G.K. Chesterton is a philosophical essay collection defending Christian faith and traditional orthodoxy against modernism and skepticism, not a noir thriller or mystery narrative.",5,"This is philosophical non-fiction, fundamentally incompatible with noir thriller genre expectations.",15,Primarily theoretical and argumentative prose with minimal narrative or visual drama; abstract ideas resist cinematic translation.,10,"A24's core 18-34 cinephile audience expects character-driven narratives, not religious apologetics presented as essays.",5,A static philosophical text offers no mystery to uncover or serial storylines to expand into sequels.,20,"Could be adapted as a small-scale arthouse dialogue piece, but the source material doesn't naturally suggest contained small-town drama.",35,"Chesterton is known to literary/academic audiences, but Orthodoxy is not a household title like his detective fiction."
crisis__boye-karin__unk,A24,27.25,"*Crisis* is a poor match for the noir thriller mandate, as its modernist psychological focus conflicts fundamentally with genre expectations and character/plot requirements.","Karin Boye's *Crisis* (1934) is a Swedish modernist psychological novel exploring identity, alienation, and existential anxiety in early 20th-century urban settings, with introspective, fragmented narrative structure rather than plot-driven thriller elements.",15,"A psychological modernist novel is fundamentally incompatible with noir thriller conventions, lacking the crime narrative and detective framework essential to the genre.",40,"The novel's interior psychological focus and abstract existential themes present visual adaptation challenges, though its modernist alienation could support a visually distinctive, introspective aesthetic.",25,"The protagonist's existential crisis and outsider perspective may appeal to cinephile audiences, but the lack of an 'insider uncovering' narrative makes it a poor fit for the character mandate.",10,"The novel's introspective, standalone exploration of psychological crisis offers minimal sequel or world-building potential around investigative uncovering.",65,A contained psychological study set primarily in urban/domestic spaces aligns well with A24's lower-budget intimate film range ($15-20M).,30,Karin Boye is respected in Scandinavian literature circles but remains obscure to general English-language audiences compared to canonical noir thrillers.
selected-works__tsiolkovsky-konstantin__unk,A24,10.0,This non-fiction scientific work is fundamentally unsuitable for adaptation as a noir thriller and fails across nearly all mandate categories.,"Not confidently recognized. ""Selected Works"" by Tsiolkovsky is likely a collection of essays or scientific writings by the Russian rocket scientist and cosmonautics pioneer, not a narrative fiction work suitable for adaptation into a noir thriller.",5,"This is a non-fiction scientific/technical work, fundamentally incompatible with noir thriller genre requirements.",10,"Scientific essays lack the narrative structure, character arcs, and dramatic tension needed for cinematic dark noir storytelling.",5,A collection of cosmonautics theory holds little appeal to A24's 18-34 cinephile demographic seeking character-driven psychological narratives.,2,"Non-fiction academic work offers no plot, characters, or world to build sequels or extended narratives from.",25,"While a small-town setting might suggest contained budgeting, this work is non-narrative and would require complete creative fabrication rather than adaptation.",45,"Tsiolkovsky is historically significant in space exploration history, but his work is niche; general audiences wouldn't recognize this as source material."
levsha__leskov-nikolai__unk,A24,43.25,"Levsha is a visually adaptable Russian literary gem with insider-protagonist appeal, but its satirical tone, self-contained narrative, and modest name recognition in English markets make it a poor fit for the ""dark noir thriller"" mandate.","Levsha is a satirical novella by Nikolai Leskov about a gifted Russian craftsman (the ""left-hander"") who is recruited to work on a secret project for the Tsar during the Cold War with England; the story blends dark humor, political intrigue, and Russian provincial life with themes of loyalty, national pride, and the exploitation of talent by power.",35,"Levsha is satirical literary fiction with spy/intrigue elements, not a noir thriller with the hardboiled cynicism and morality-ambiguity that defines the genre.",70,"The novella has vivid Russian settings, memorable characters, and dramatic set pieces (the mechanical flea project) that are visually cinematic, though the tone is more satirical than darkly brooding.",50,"An insider protagonist uncovering secrets appeals to A24's audience, but the story's 19th-century Russian provincial focus and satirical-allegorical mode may feel remote from contemporary cinephile sensibilities.",25,"Levsha is a self-contained novella with no built-in sequel potential; the 'uncovering' is resolved within the single narrative arc, limiting world-building expansion.",60,"Period Russian settings and craft-work scenes require moderate production design, fitting A24's mid-range budget, though period authenticity could push costs upward.",25,"Leskov is a significant Russian literary figure, but Levsha is not a household-name classic in English-speaking markets; it requires cultural/literary context to resonate."
the-riddle-of-the-universe-at-the-close-of-the-nineteenth-century__haeckel-ernst__1900,A24,8.7,"This scientific treatise is fundamentally incompatible with A24's mandate for a noir thriller narrative, as it is non-fiction exposition rather than a story with characters, conflict, and plot.","This is a philosophical and scientific treatise by German biologist Ernst Haeckel, not a work of fiction—it presents his materialist worldview and scientific theories rather than a narrative plot. Not suited for narrative adaptation.",5,A scientific philosophy treatise has no noir thriller elements whatsoever.,10,Dense scientific exposition lacks the visual cinematic narrative structure needed for dark noir storytelling.,8,"A24's core audience seeks character-driven narratives, not 19th-century scientific philosophical treatises.",3,No narrative arc or world-building potential exists in a non-fiction scientific work.,15,"Even if adaptable, a philosophy lecture would require minimal production scale, but the core issue is non-fictional source material.",35,"Haeckel is historically significant in biology, but this specific title is not widely recognized beyond academic circles."
memoirs-of-louis-xiv-and-his-court-and-of-the-regency-complete__saint-simon-louis-de-rouvroy-duc-de__unk,A24,16.5,"This historical memoir is fundamentally misaligned with the noir thriller mandate and lacks the narrative structure, genre conventions, and audience appeal required for an A24 adaptation.","This is a historical memoir/court chronicle by Saint-Simon documenting the reign of Louis XIV and the French Regency period, consisting of detailed observations and accounts of aristocratic life, court intrigue, and political events at Versailles—not a work of fiction or noir narrative.",5,A historical memoir is fundamentally incompatible with noir thriller conventions; it lacks the crime/mystery/tension framework the mandate requires.,20,"While court scenes offer visual richness, the episodic memoir structure and absence of dramatic narrative arc make it poorly suited for dark cinematic storytelling.",15,A 17th-century aristocratic chronicle holds minimal appeal to A24's core 18-34 cinephile urban/college audience expecting contemporary or psychologically charged storytelling.,10,"The source material is historical observation without recurring characters, central conflicts, or world-building mechanics that support sequels or expansion.",30,"Small-town setting fits budget mandates, but this book's Versailles court setting and historical scope would require expensive period production design.",60,"Saint-Simon's memoirs are moderately known to educated/academic audiences as a primary historical source, but lack popular cultural recognition."
a-travers-chants__berlioz-hector__1862,A24,8.0,This non-fiction essay collection is fundamentally incompatible with the noir thriller mandate and has no narrative adaptability regardless of its historical importance.,"This is a collection of essays and articles by Hector Berlioz, the 19th-century French composer, on music and musicians; it is not a work of fiction and therefore has no plot or noir thriller elements.",5,Non-fiction essays on music criticism have no resemblance to noir thriller conventions.,10,A collection of music criticism lacks narrative structure or visual/cinematic potential for a dark thriller.,5,Music essays from the 1860s would not resonate with A24's core 18-34 cinephile audience seeking thriller narratives.,2,Non-fiction essays have minimal sequel or world-building potential.,15,"While a small-town setting requirement could theoretically work, adapting abstract music criticism to any budget level is fundamentally unviable.",35,"Berlioz is historically significant among classical music specialists, but this collection is obscure to general audiences."
off-on-a-comet-a-journey-through-planetary-space__verne-jules__unk,A24,33.5,"Off on a Comet is a foundational science fiction work with strong visual potential, but it is fundamentally misaligned with A24's noir-thriller mandate and would exceed typical budget constraints.","A science fiction novel by Jules Verne (1877) about a comet that collides with Earth, carrying a small group of people through space on a journey across the solar system; focuses on adventure, scientific discovery, and survival in extraordinary circumstances rather than noir mystery.",5,"This is a science fiction adventure novel, not a noir thriller—fundamentally misaligned with the mandate.",75,"Verne's cosmic scenery and survival scenarios would be visually striking and cinematic, though the tone is wonder-driven rather than dark noir.",30,"An insider uncovering secrets fits A24's character archetype poorly; the novel features scientists and adventurers, not noir protagonists engaging with institutional corruption or deception.",40,"While Verne's world-building is extensive, the contained premise of a comet journey offers limited sequel/discovery potential compared to noir's investigative/unfolding mystery structure.",20,Space sequences and cosmic vistas would push production costs well beyond A24's typical budget range and contradict the 'small town' grounding implied by the mandate.,70,"Jules Verne is a classic, canonical author, but this specific title is less recognizable than *Twenty Thousand Leagues* or *Journey to the Center of the Earth*."
dracula__stoker-bram__1897,A24,53.0,"Dracula is a celebrated literary classic with strong visual potential, but its Gothic supernatural genre, ensemble structure, and weak alignment with the noir-thriller mandate and A24's typical insider-protagonist archetype make it a poor fit for this specific brief.","Dracula is a Gothic vampire novel told through letters and diary entries, following an English solicitor who becomes trapped in Count Dracula's castle and uncovers the vampire's sinister nature, eventually leading a group to pursue and stop the creature's invasion of England.",35,"Gothic horror/supernatural fiction, not noir thriller—lacks the detective/crime investigation and urban cynicism core to noir.",75,"Deeply atmospheric and visually iconic (castle, supernatural terror, period gothic setting) with strong cinematic potential, though the epistolary format and slow-burn character work require adaptation.",45,"While A24's audience enjoys art-horror and literary classics, the 'insider' angle (a solicitor witnessing/reporting) is weak—the story is more ensemble-driven and lacks the morally compromised protagonist A24 typically favors.",50,"Strong world-building and lore, but 'uncovers' doesn't naturally extend; Dracula sequels exist but feel additive rather than organic expansions of investigation/revelation.",60,"Transylvanian castle and period setting suggest moderate-to-high budget, but the contained, intimate horror focus (small cast, epistolary) could fit A24's $15-20M indie sweet spot or climb to event-film territory.",95,One of the most famous novels ever written and a cultural icon; instantly recognizable to general audiences worldwide.
images-of-war__capa-robert__unk,A24,25.5,Insufficient confidence in book identification prevents reliable scoring; this title may be a non-fiction photography/essay work rather than the noir thriller narrative the mandate requires.,"Not confidently recognized. ""Images of war"" attributed to Robert Capa (famous war photographer, 1913–1954) could refer to a photography collection, essay collection, or memoir rather than a narrative fiction work; without verification of the actual publication and its genre/plot, scoring would require speculation rather than knowledge of the specific book.",15,"If this is a photography/essay collection rather than noir thriller fiction, the genre alignment is minimal.",35,Photography collections or war memoirs have visual material but may lack narrative structure; documentary potential exists but narrative noir adaptation is unclear.,25,War photography or historical essay collections would appeal to art/history audiences more than A24's core cinephile demographic seeking character-driven psychological thrillers.,10,"Photography collections or essay works offer minimal sequel/world-building potential around an ""uncovering"" action.",45,"Small-town setting suggested by mandate, but if source is documentary/photography-based, budget fit depends entirely on adaptation approach rather than inherent scope.",70,"Robert Capa is a famous war photographer, but this specific title's recognition among general audiences is uncertain."
samtliche-werke__morike-eduard__unk,A24,10.25,"This appears to be a collected works edition rather than a narrative book, making it fundamentally unsuitable for the noir thriller mandate and poorly recognized by A24's target audience.","Not confidently recognized. ""Sämtliche Werke"" (Complete Works) is a German title referring to a collected edition of an author's works rather than a single narrative book; Eduard Mörike (1804-1875) was a 19th-century German poet and writer, but without knowing which specific work(s) this edition emphasizes or their actual content, I cannot accurately assess plot or genre.",15,A collected works anthology has no inherent genre; Mörike's historical poetry/literature context is far from noir thriller.,10,Collected editions of 19th-century German poetry are literary/textual works with minimal cinematic narrative structure or dark visual potential.,5,Historical German literary collections have minimal appeal to A24's 18-34 cinephile urban/college audience without a compelling character-driven narrative.,0,"An anthology of 19th-century poetry offers no world-building, sequel, or investigation/uncovering narrative structure.",20,"Small-town settings are budget-efficient, but a poetry collection has no inherent production scale implications.",25,Eduard Mörike is known to German literature scholars but has minimal mainstream recognition outside academic circles.
carl-spitzweg__spitzweg-carl__unk,A24,12.25,"This appears to be a cataloging error: Carl Spitzweg was a painter, not a novelist, making the title unsuitable for the noir thriller mandate.","Not confidently recognized. ""Carl Spitzweg"" appears to be cataloged as both a title and author name, but Carl Spitzweg (1808-1885) was a German Romantic painter and illustrator, not primarily known as a novelist—this entry may be a data error or a collection of his artwork/illustrations rather than a literary work suitable for film adaptation.",5,"Spitzweg was a visual artist, not a noir thriller writer, making genre alignment impossible.",15,"If this is an art collection or illustrated work, visual material exists but lacks narrative structure for dark cinematic adaptation.",10,A 19th-century painter's work would not meaningfully resonate with A24's target demographic through the 'insider uncovers' character lens.,5,No narrative foundation exists to build sequels or world-expansion from biographical/artistic material.,20,"Small-town setting might suit budget, but the source material lacks the narrative substance to warrant production costs.",60,"Carl Spitzweg is historically recognized as a notable Romantic painter, but the general public would not identify him as a literary/film property."
autobiography-of-sir-george-biddell-airy__airy-george-biddell__unk,A24,7.25,This public-domain autobiography of a Victorian scientist fundamentally mismatches the mandate for a dark noir thriller centered on an insider uncovering secrets in a small town.,"This is a historical autobiography of Sir George Biddell Airy, a 19th-century Royal Astronomer and scientist who directed Greenwich Observatory; not a work of fiction and not a noir thriller in any sense.",0,"This is a factual autobiography of a scientist, not a noir thriller.",15,"While biographical material can be adapted, Airy's life lacks the dark tone, intrigue, and cinematic tension the mandate requires.",5,A 19th-century scientific autobiography has minimal appeal to A24's core 18-34 cinephile audience seeking noir narratives.,0,An autobiography is a closed historical account with no sequel or world-building potential.,25,"While a period piece set in Victorian England could fit A24's budget, the source material itself is a dry biographical text rather than a narrative-driven small-town thriller.",10,George Biddell Airy is historically significant but largely unknown to general modern audiences outside academic circles.
the-air-pirate__thorne-guy__1920,A24,23.25,"Without reliable knowledge of this specific book's content, it is impossible to assess fit against the mandate; early pulp titles rarely align with contemporary noir thriller aesthetics or A24's sensibility.","Not confidently recognized. ""The Air Pirate"" by Guy Thorne (1920) does not match any well-known work in my training data; it may be an obscure early-20th-century adventure or pulp fiction title, but I cannot reliably determine its actual plot, genre, or themes without risking invention.",25,"Without confirmed plot details, cannot assess genre fit; the title suggests adventure/crime rather than noir thriller.",30,"Early pulp-era title may have episodic or dated narrative conventions that resist dark, cinematic tone.",20,Unclear protagonist type; a generic 1920s air-based adventure unlikely to center insider character dynamics A24 audiences expect.,15,"Without confirmed narrative, cannot assess sequel/investigation potential; early pulp rarely built serialized world-building.",35,"Small-town setting fits containment, but early aviation-based pulp could imply expensive period/aerial sequences.",10,Extremely obscure title with no mainstream cultural footprint or readily available plot information.
anthropology__tylor-edward-burnett__1881,A24,11.5,"This foundational anthropology text is fundamentally misaligned with the noir thriller mandate, lacking narrative, characters, mystery, and cinematic potential entirely.","Not confidently recognized as a noir thriller or mystery narrative. Edward Burnett Tylor's ""Anthropology"" (1881) is a foundational academic text on comparative anthropology and human culture, not a work of fiction with plot, characters, or mystery elements.",5,"This is academic non-fiction about anthropological theory, not a noir thriller.",10,"As a scholarly treatise on cultural practices, it lacks narrative arc, character drama, and cinematic tension.",15,The insider character archetype doesn't apply to an academic text lacking protagonist-driven narrative.,5,"No plot, mystery, or world to expand; an academic survey has no sequel potential.",20,"While small-town settings aren't relevant to an anthropology textbook, adapting abstract theory would require high concept work unsuitable for A24's budget range.",45,"Tylor is a canonical figure in anthropology history, but ""Anthropology"" is not a recognizable title to general audiences."
duineser-elegien__rilke-rainer-maria__1923,A24,11.5,"Duineser Elegien is a canonical modernist poetry cycle fundamentally mismatched to any film adaptation, let alone a noir thriller mandate.","Duineser Elegien (Duino Elegies) is a cycle of ten philosophical poems by Rainer Maria Rilke, written 1922-1923, exploring themes of human transience, loss, angels, and transcendence—not a prose thriller or narrative work.",5,Poetry collection has no relation to noir thriller genre requirements.,15,Abstract philosophical verse lacks the concrete visual narrative and dark cinematic elements needed for screen adaptation.,10,"Dense modernist poetry appeals to academic audiences, not A24's core 18-34 cinephile demographic expecting character-driven thrillers.",2,Lyric poetry has no plot structure or world-building potential for sequels or expanding narratives.,20,"While small-town setting could fit budget, the non-narrative form makes conventional budgeting irrelevant.",60,"Rilke is canonically significant in literature, and Duino Elegies is his most famous work, but recognition skews academic rather than general audience."
grundriss-der-allgemeinen-chemie__ostwald-wilhelm__1889,A24,2.25,"This is a non-fiction scientific textbook with zero narrative content, making it fundamentally unadaptable as a dark noir thriller and entirely misaligned with the mandate.","Not confidently recognized. ""Grundriss der allgemeinen Chemie"" (Outline of General Chemistry) is a 19th-century German chemistry textbook by Wilhelm Ostwald, a physical chemist — not a work of fiction with narrative plot, characters, or thriller themes.",0,"This is a scientific textbook, not a noir thriller.",5,"A chemistry textbook has no narrative arc, characters, or visual story to adapt.",0,Non-fiction chemistry content offers no character-driven insider narrative for A24's audience.,0,An academic textbook has no world-building or sequel potential.,5,"Without a narrative structure, budget considerations are moot.",15,"Ostwald is a historically significant chemist, but this textbook is not known to the general public."
gospodin-iz-san-frantsisko__bunin-ivan__1920,A24,26.0,"This unconfirmed 1920s literary work poorly aligns with A24's dark noir-thriller mandate, lacking both genre conventions and contemporary audience appeal.","Not confidently recognized. ""Gospodin iz San Frant︠s︡isko"" (translating to ""The Gentleman from San Francisco"") is attributed to Ivan Bunin here, and while Bunin was a notable Russian/émigré writer active in this period, I cannot reliably confirm this title's plot and themes from the title alone without risking invention.",25,"Without confirmed plot knowledge, impossible to assess noir-thriller fit; Bunin's known work tends toward literary realism rather than genre thriller conventions.",30,"Early 20th-century Russian literary fiction typically emphasizes internal psychology over visual spectacle, limiting cinematic darkness and style.",20,"Bunin's existential, introspective style and dated European sensibilities poorly match A24's 18-34 cinephile urban audience expectations for an insider protagonist.",15,Public-domain 1920s short/novella form offers minimal sequel or world-building potential for uncovering-driven narratives.,45,"Small-town setting aligns with contained budgets, but the source material's literary focus and period setting may require higher production design costs than typical A24 indie films.",35,"Ivan Bunin is a recognized literary figure among scholars, but this specific 1920s Russian title has minimal name recognition with general audiences or A24's demographic."
the-green-ring__gippius-zinaida__1920,A24,0.75,"Without confident knowledge of this book's actual plot and themes, all category scores default to 0; only name_recognition reflects modest literary-world familiarity with the author.","Not confidently recognized—""The Green Ring"" by Zinaida Gippius (1920) is not a title I can reliably identify from my training data, and inventing a plot based solely on the title and author would risk scoring against a false premise.",0,Cannot assess genre fit without confident knowledge of the actual book's content.,0,"Cannot assess visual/cinematic potential without knowing the book's actual tone, setting, and narrative structure.",0,Cannot assess character and thematic resonance with A24's audience without knowing the book's actual plot and themes.,0,Cannot assess sequel/world-building potential without understanding the book's actual narrative scope.,0,Cannot assess budget implications without knowing the book's actual setting and production requirements.,15,"Gippius is a recognized Russian Symbolist writer, but this specific title is obscure to general English-language audiences."
how-to-understand-music__bab__unk,A24,6.0,"This instructional text on music fundamentally mismatches A24's noir thriller mandate and lacks any of the narrative, character, or thematic elements required for adaptation.","Not confidently recognized—""How to Understand Music"" by Báb does not match any well-known work I can reliably identify, and the publication metadata suggests data quality issues (publication year listed as 1881 conflicts with author death in 1850).",5,A music instruction/theory book has no relation to noir thriller genre.,10,"An instructional music text lacks narrative, characters, or visual drama essential for film adaptation.",5,Educational/instructional content does not align with A24's cinephile audience expecting character-driven narrative.,0,A music guide has no potential for sequels or world-building expansion.,15,"Non-narrative instructional content would require significant creative invention to adapt as a film, making budget considerations moot.",5,This title/author pairing is not recognized as a notable work in general culture.
the-economy-of-machinery-and-manufactures__babbage-charles__1832,A24,4.9,"This non-fiction economics text is fundamentally misaligned with every mandate requirement—it is not a thriller, lacks narrative or character, and cannot be adapted as a noir mystery film.","Not confidently recognized as a noir thriller. This is Charles Babbage's 1832 non-fiction treatise on industrial manufacturing and mechanical production systems—an early economics and technology essay, not a work of fiction with plot, character, or narrative thriller elements.",2,A technical economics treatise bears no resemblance to noir thriller conventions.,5,"While machinery and factories could be visually interesting, the book lacks narrative structure, character arcs, and dramatic tension necessary for adaptation.",3,A24's core audience seeks character-driven stories; this academic text offers neither protagonist nor insider-perspective drama.,1,"A non-fiction technical essay has no world-building, plot threads, or sequelization potential.",8,"If adapted as period industrial drama, small-town factory settings could fit modest A24 budgets, but the source material doesn't naturally adapt at all.",35,"Babbage is historically significant in computing and mathematics, but this specific treatise is obscure to general audiences outside academia."
poems__stevens-wallace__1945,A24,7.45,"This poetry collection is fundamentally incompatible with the noir thriller mandate—it is abstract modernist verse with no plot, characters, or visual narrative potential.","This is a poetry collection by Wallace Stevens, the modernist poet known for abstract, philosophical verse exploring perception, imagination, and reality—not a narrative thriller or genre fiction work.",5,Poetry collection has no noir thriller elements whatsoever.,10,Modernist poetry is abstract and conceptual rather than narrative-driven or cinematically structured.,8,"Stevens' intellectual, philosophical work appeals to literary audiences but not A24's core 18-34 cinephile demographic seeking character-driven narratives.",2,Poetry collection has no sequential plot or world-building capable of supporting sequels.,0,Not adaptable to any film budget scale as it lacks narrative structure.,60,"Wallace Stevens is a canonized modernist poet known in academic circles, but 'Poems' as a title is not widely recognized by general audiences."
sesame-and-lilies-three-lectures__arnold-matthew__1800,A24,8.45,"This public-domain essay collection is fundamentally incompatible with the noir thriller mandate, lacking narrative, dark atmosphere, character intrigue, and visual adaptability.","Sesame and Lilies is a collection of three Victorian essays by Matthew Arnold (1865-1873), not a noir thriller; the work focuses on education, art appreciation, and women's roles in society through philosophical and cultural criticism rather than narrative fiction or mystery.",5,"This is a collection of essays, not a noir thriller, making it fundamentally misaligned with the genre mandate.",10,"Essay collections lack narrative structure and visual drama, making adaptation to a dark cinematic format extremely difficult.",8,"While A24's audience appreciates intellectual content, a Victorian essay collection about education and morality doesn't match the insider-protagonist-in-small-town intrigue they seek.",2,A static essay collection has no narrative arc or world to expand into sequels.,15,"While a small-town setting might suggest contained budget, the source material offers no story framework to justify any production budget.",35,Sesame and Lilies is a canonical Victorian text known to literature scholars but not to general audiences or modern cinephiles.
grimms-fairy-tales__grimm-jacob__1800,A24,36.0,"Grimms' Fairy Tales is a massive name-recognition asset but fundamentally incompatible with the noir thriller mandate—the genre, tone, character archetypes, and narrative structure all diverge sharply from what A24's audience and brief require.","Grimms' Fairy Tales is a classic collection of European folk tales (like ""Hansel and Gretel,"" ""Little Red Riding Hood,"" ""Sleeping Beauty"") featuring magical elements, fantastical creatures, and often dark, moralistic narratives aimed primarily at children and young readers.",10,"Fairy tales are fantasy/folklore, fundamentally misaligned with noir thriller's gritty crime/mystery conventions.",75,"While the stories are visually rich with magical imagery, the tone is whimsical/fairytale-like rather than dark noir; however, darker retellings have successfully captured a grimmer aesthetic.",15,These tales skew toward children/families rather than A24's core 18-34 cinephile urban audience seeking insider-protagonist narratives.,40,"Multiple stories exist for varied sequels/adaptations, but 'uncovers' doesn't naturally fit fairy tale structure where conflict is typically external/magical rather than investigative.",35,"Small-town settings work for A24 budgets, but fairy tale worlds often require fantasy production design and effects that push beyond contained indie budgets.",95,"Grimms' Fairy Tales is one of the most famous, culturally recognized collections globally, with centuries of renown."
collected-poems-1934-1952__thomas-dylan__1952,A24,12.75,"A canonical poetry collection is categorically unsuitable for a noir thriller adaptation mandate, despite Dylan Thomas's cultural fame.","A collection of Dylan Thomas's poetry from 1934-1952, spanning his most celebrated work including pieces like ""Do Not Go Gentle Into That Good Night"" and ""Fern Hill""—primarily lyrical and metaphysical verse with Welsh influences, not a noir thriller or narrative prose work.",5,"This is a poetry collection, fundamentally incompatible with noir thriller genre expectations.",15,"While Thomas's language is richly imagistic, poetry lacks the narrative and plot structure essential for film adaptation.",20,A24's core 18-34 cinephile audience expects character-driven narrative; abstract lyrical poetry won't engage them as an 'insider' protagonist.,5,"A static poetry collection offers no plot, character arcs, or world-building to develop across sequels.",10,Poetry doesn't scale to any film budget model; there's no narrative foundation to justify production costs.,70,Dylan Thomas is a canonical 20th-century poet widely taught in schools; his name and some poems are culturally recognized.
la-pere-goriot__balzac-honore-de__1800,A24,43.5,"A literary classic that excels as character-driven drama but fundamentally misaligns with the noir thriller mandate—genre, tone, and action vocabulary don't match A24's target despite period prestige.","*Le Père Goriot* (1835) is a classic French novel by Honoré de Balzac following Eugène de Rastignac, an ambitious young law student who enters Paris society, and the elderly, self-sacrificing Goriot, who ruins himself for his daughters—a character-driven study of ambition, family dysfunction, and social corruption in post-Napoleonic Paris.",25,"The book is a realist social drama, not a noir thriller; it explores ambition and morality but lacks crime/mystery plotting central to noir.",70,"Rich domestic and social settings are visually evocative, but the narrative is introspective and driven by social psychology rather than visual action or dark atmosphere.",65,"The insider protagonist (Rastignac navigating high society) and themes of moral corruption resonate with A24's cinephile audience, though the 19th-century bourgeois setting may feel distant to younger viewers.",15,The narrative is tightly focused on one tragic arc with no inherent world-building or sequel setup; 'uncovering' isn't the core action.,65,"Small-town French setting is modest in scale, though a prestige period adaptation could justify $20-30M spend; doesn't naturally fit contained indie thriller economics.",70,"A canonical 19th-century classic widely taught in literature courses, though general audiences may not recognize the title as readily as Dracula or Pride and Prejudice."
